Train Epoch: 0 | Batch: 0/196 | Loss: 2.303 | Train Acc: 8.203%
Train Epoch: 0 | Batch: 10/196 | Loss: 2.286 | Train Acc: 13.885%
Train Epoch: 0 | Batch: 20/196 | Loss: 2.224 | Train Acc: 16.462%
Train Epoch: 0 | Batch: 30/196 | Loss: 2.184 | Train Acc: 17.956%
Train Epoch: 0 | Batch: 40/196 | Loss: 2.156 | Train Acc: 19.303%
Train Epoch: 0 | Batch: 50/196 | Loss: 2.151 | Train Acc: 19.562%
Train Epoch: 0 | Batch: 60/196 | Loss: 2.133 | Train Acc: 20.345%
Train Epoch: 0 | Batch: 70/196 | Loss: 2.107 | Train Acc: 21.165%
Train Epoch: 0 | Batch: 80/196 | Loss: 2.103 | Train Acc: 21.320%
Train Epoch: 0 | Batch: 90/196 | Loss: 2.104 | Train Acc: 21.360%
Train Epoch: 0 | Batch: 100/196 | Loss: 2.104 | Train Acc: 21.353%
Train Epoch: 0 | Batch: 110/196 | Loss: 2.094 | Train Acc: 21.696%
Train Epoch: 0 | Batch: 120/196 | Loss: 2.086 | Train Acc: 21.911%
Train Epoch: 0 | Batch: 130/196 | Loss: 2.071 | Train Acc: 22.412%
Train Epoch: 0 | Batch: 140/196 | Loss: 2.056 | Train Acc: 22.900%
Train Epoch: 0 | Batch: 150/196 | Loss: 2.046 | Train Acc: 23.282%
Train Epoch: 0 | Batch: 160/196 | Loss: 2.037 | Train Acc: 23.731%
Train Epoch: 0 | Batch: 170/196 | Loss: 2.026 | Train Acc: 24.130%
Train Epoch: 0 | Batch: 180/196 | Loss: 2.017 | Train Acc: 24.458%
Train Epoch: 0 | Batch: 190/196 | Loss: 2.005 | Train Acc: 24.806%


Test Epoch: 0 | Loss: 1.750 | Test Acc: 34.010%


Train Epoch: 1 | Batch: 0/196 | Loss: 1.812 | Train Acc: 29.688%
Train Epoch: 1 | Batch: 10/196 | Loss: 1.867 | Train Acc: 29.794%
Train Epoch: 1 | Batch: 20/196 | Loss: 1.859 | Train Acc: 30.078%
Train Epoch: 1 | Batch: 30/196 | Loss: 1.865 | Train Acc: 29.927%
Train Epoch: 1 | Batch: 40/196 | Loss: 1.863 | Train Acc: 29.545%
Train Epoch: 1 | Batch: 50/196 | Loss: 1.848 | Train Acc: 30.178%
Train Epoch: 1 | Batch: 60/196 | Loss: 1.834 | Train Acc: 30.597%
Train Epoch: 1 | Batch: 70/196 | Loss: 1.832 | Train Acc: 30.832%
Train Epoch: 1 | Batch: 80/196 | Loss: 1.823 | Train Acc: 31.207%
Train Epoch: 1 | Batch: 90/196 | Loss: 1.820 | Train Acc: 31.336%
Train Epoch: 1 | Batch: 100/196 | Loss: 1.816 | Train Acc: 31.525%
Train Epoch: 1 | Batch: 110/196 | Loss: 1.813 | Train Acc: 31.767%
Train Epoch: 1 | Batch: 120/196 | Loss: 1.808 | Train Acc: 31.934%
Train Epoch: 1 | Batch: 130/196 | Loss: 1.805 | Train Acc: 32.052%
Train Epoch: 1 | Batch: 140/196 | Loss: 1.807 | Train Acc: 32.092%
Train Epoch: 1 | Batch: 150/196 | Loss: 1.807 | Train Acc: 32.202%
Train Epoch: 1 | Batch: 160/196 | Loss: 1.804 | Train Acc: 32.274%
Train Epoch: 1 | Batch: 170/196 | Loss: 1.803 | Train Acc: 32.438%
Train Epoch: 1 | Batch: 180/196 | Loss: 1.798 | Train Acc: 32.607%
Train Epoch: 1 | Batch: 190/196 | Loss: 1.796 | Train Acc: 32.673%


Test Epoch: 1 | Loss: 1.621 | Test Acc: 40.520%


Train Epoch: 2 | Batch: 0/196 | Loss: 1.743 | Train Acc: 33.984%
Train Epoch: 2 | Batch: 10/196 | Loss: 1.667 | Train Acc: 36.719%
Train Epoch: 2 | Batch: 20/196 | Loss: 1.701 | Train Acc: 36.198%
Train Epoch: 2 | Batch: 30/196 | Loss: 1.706 | Train Acc: 36.064%
Train Epoch: 2 | Batch: 40/196 | Loss: 1.724 | Train Acc: 35.947%
Train Epoch: 2 | Batch: 50/196 | Loss: 1.724 | Train Acc: 35.922%
Train Epoch: 2 | Batch: 60/196 | Loss: 1.720 | Train Acc: 36.059%
Train Epoch: 2 | Batch: 70/196 | Loss: 1.723 | Train Acc: 36.185%
Train Epoch: 2 | Batch: 80/196 | Loss: 1.722 | Train Acc: 36.203%
Train Epoch: 2 | Batch: 90/196 | Loss: 1.722 | Train Acc: 36.208%
Train Epoch: 2 | Batch: 100/196 | Loss: 1.722 | Train Acc: 36.177%
Train Epoch: 2 | Batch: 110/196 | Loss: 1.721 | Train Acc: 36.191%
Train Epoch: 2 | Batch: 120/196 | Loss: 1.720 | Train Acc: 36.222%
Train Epoch: 2 | Batch: 130/196 | Loss: 1.715 | Train Acc: 36.385%
Train Epoch: 2 | Batch: 140/196 | Loss: 1.713 | Train Acc: 36.444%
Train Epoch: 2 | Batch: 150/196 | Loss: 1.713 | Train Acc: 36.315%
Train Epoch: 2 | Batch: 160/196 | Loss: 1.709 | Train Acc: 36.430%
Train Epoch: 2 | Batch: 170/196 | Loss: 1.705 | Train Acc: 36.543%
Train Epoch: 2 | Batch: 180/196 | Loss: 1.703 | Train Acc: 36.540%
Train Epoch: 2 | Batch: 190/196 | Loss: 1.702 | Train Acc: 36.571%


Test Epoch: 2 | Loss: 1.636 | Test Acc: 39.250%


Train Epoch: 3 | Batch: 0/196 | Loss: 1.726 | Train Acc: 36.328%
Train Epoch: 3 | Batch: 10/196 | Loss: 1.690 | Train Acc: 37.358%
Train Epoch: 3 | Batch: 20/196 | Loss: 1.638 | Train Acc: 38.951%
Train Epoch: 3 | Batch: 30/196 | Loss: 1.629 | Train Acc: 39.554%
Train Epoch: 3 | Batch: 40/196 | Loss: 1.619 | Train Acc: 39.748%
Train Epoch: 3 | Batch: 50/196 | Loss: 1.625 | Train Acc: 39.553%
Train Epoch: 3 | Batch: 60/196 | Loss: 1.625 | Train Acc: 39.517%
Train Epoch: 3 | Batch: 70/196 | Loss: 1.622 | Train Acc: 39.739%
Train Epoch: 3 | Batch: 80/196 | Loss: 1.617 | Train Acc: 39.810%
Train Epoch: 3 | Batch: 90/196 | Loss: 1.615 | Train Acc: 39.809%
Train Epoch: 3 | Batch: 100/196 | Loss: 1.618 | Train Acc: 39.805%
Train Epoch: 3 | Batch: 110/196 | Loss: 1.624 | Train Acc: 39.555%
Train Epoch: 3 | Batch: 120/196 | Loss: 1.626 | Train Acc: 39.472%
Train Epoch: 3 | Batch: 130/196 | Loss: 1.629 | Train Acc: 39.385%
Train Epoch: 3 | Batch: 140/196 | Loss: 1.631 | Train Acc: 39.218%
Train Epoch: 3 | Batch: 150/196 | Loss: 1.627 | Train Acc: 39.298%
Train Epoch: 3 | Batch: 160/196 | Loss: 1.623 | Train Acc: 39.480%
Train Epoch: 3 | Batch: 170/196 | Loss: 1.624 | Train Acc: 39.508%
Train Epoch: 3 | Batch: 180/196 | Loss: 1.623 | Train Acc: 39.529%
Train Epoch: 3 | Batch: 190/196 | Loss: 1.622 | Train Acc: 39.696%


Test Epoch: 3 | Loss: 1.537 | Test Acc: 43.750%


Train Epoch: 4 | Batch: 0/196 | Loss: 1.670 | Train Acc: 43.359%
Train Epoch: 4 | Batch: 10/196 | Loss: 1.597 | Train Acc: 42.081%
