Train Epoch: 0 | Batch: 0/196 | Loss: 2.301 | Train Acc: 9.766%
Train Epoch: 0 | Batch: 10/196 | Loss: 2.294 | Train Acc: 12.322%
Train Epoch: 0 | Batch: 20/196 | Loss: 2.254 | Train Acc: 14.416%
Train Epoch: 0 | Batch: 30/196 | Loss: 2.213 | Train Acc: 16.835%
Train Epoch: 0 | Batch: 40/196 | Loss: 2.170 | Train Acc: 18.512%
Train Epoch: 0 | Batch: 50/196 | Loss: 2.139 | Train Acc: 19.838%
Train Epoch: 0 | Batch: 60/196 | Loss: 2.102 | Train Acc: 21.055%
Train Epoch: 0 | Batch: 70/196 | Loss: 2.079 | Train Acc: 21.969%
Train Epoch: 0 | Batch: 80/196 | Loss: 2.065 | Train Acc: 22.536%
Train Epoch: 0 | Batch: 90/196 | Loss: 2.044 | Train Acc: 23.571%
Train Epoch: 0 | Batch: 100/196 | Loss: 2.022 | Train Acc: 24.509%
Train Epoch: 0 | Batch: 110/196 | Loss: 2.005 | Train Acc: 25.260%
Train Epoch: 0 | Batch: 120/196 | Loss: 1.986 | Train Acc: 26.020%
Train Epoch: 0 | Batch: 130/196 | Loss: 1.972 | Train Acc: 26.580%
Train Epoch: 0 | Batch: 140/196 | Loss: 1.957 | Train Acc: 27.183%
Train Epoch: 0 | Batch: 150/196 | Loss: 1.944 | Train Acc: 27.716%
Train Epoch: 0 | Batch: 160/196 | Loss: 1.930 | Train Acc: 28.224%
Train Epoch: 0 | Batch: 170/196 | Loss: 1.922 | Train Acc: 28.502%
Train Epoch: 0 | Batch: 180/196 | Loss: 1.912 | Train Acc: 28.889%
Train Epoch: 0 | Batch: 190/196 | Loss: 1.902 | Train Acc: 29.256%


Test Epoch: 0 | Loss: 1.644 | Test Acc: 41.150%


Train Epoch: 1 | Batch: 0/196 | Loss: 1.802 | Train Acc: 30.859%
Train Epoch: 1 | Batch: 10/196 | Loss: 1.747 | Train Acc: 34.624%
Train Epoch: 1 | Batch: 20/196 | Loss: 1.716 | Train Acc: 36.235%
Train Epoch: 1 | Batch: 30/196 | Loss: 1.699 | Train Acc: 37.185%
Train Epoch: 1 | Batch: 40/196 | Loss: 1.699 | Train Acc: 36.900%
Train Epoch: 1 | Batch: 50/196 | Loss: 1.689 | Train Acc: 37.171%
Train Epoch: 1 | Batch: 60/196 | Loss: 1.675 | Train Acc: 37.795%
Train Epoch: 1 | Batch: 70/196 | Loss: 1.663 | Train Acc: 38.402%
Train Epoch: 1 | Batch: 80/196 | Loss: 1.662 | Train Acc: 38.633%
Train Epoch: 1 | Batch: 90/196 | Loss: 1.662 | Train Acc: 38.706%
Train Epoch: 1 | Batch: 100/196 | Loss: 1.659 | Train Acc: 38.931%
Train Epoch: 1 | Batch: 110/196 | Loss: 1.656 | Train Acc: 39.094%
Train Epoch: 1 | Batch: 120/196 | Loss: 1.651 | Train Acc: 39.389%
Train Epoch: 1 | Batch: 130/196 | Loss: 1.649 | Train Acc: 39.435%
Train Epoch: 1 | Batch: 140/196 | Loss: 1.647 | Train Acc: 39.484%
Train Epoch: 1 | Batch: 150/196 | Loss: 1.643 | Train Acc: 39.701%
Train Epoch: 1 | Batch: 160/196 | Loss: 1.641 | Train Acc: 39.836%
Train Epoch: 1 | Batch: 170/196 | Loss: 1.639 | Train Acc: 39.935%
Train Epoch: 1 | Batch: 180/196 | Loss: 1.637 | Train Acc: 40.042%
Train Epoch: 1 | Batch: 190/196 | Loss: 1.635 | Train Acc: 40.048%


Test Epoch: 1 | Loss: 1.443 | Test Acc: 48.090%


Train Epoch: 2 | Batch: 0/196 | Loss: 1.548 | Train Acc: 45.703%
Train Epoch: 2 | Batch: 10/196 | Loss: 1.541 | Train Acc: 43.324%
Train Epoch: 2 | Batch: 20/196 | Loss: 1.556 | Train Acc: 43.304%
Train Epoch: 2 | Batch: 30/196 | Loss: 1.574 | Train Acc: 42.704%
Train Epoch: 2 | Batch: 40/196 | Loss: 1.583 | Train Acc: 42.264%
Train Epoch: 2 | Batch: 50/196 | Loss: 1.582 | Train Acc: 42.333%
Train Epoch: 2 | Batch: 60/196 | Loss: 1.586 | Train Acc: 42.252%
Train Epoch: 2 | Batch: 70/196 | Loss: 1.576 | Train Acc: 42.468%
Train Epoch: 2 | Batch: 80/196 | Loss: 1.572 | Train Acc: 42.646%
Train Epoch: 2 | Batch: 90/196 | Loss: 1.568 | Train Acc: 42.771%
Train Epoch: 2 | Batch: 100/196 | Loss: 1.563 | Train Acc: 43.031%
Train Epoch: 2 | Batch: 110/196 | Loss: 1.563 | Train Acc: 42.969%
Train Epoch: 2 | Batch: 120/196 | Loss: 1.560 | Train Acc: 43.079%
Train Epoch: 2 | Batch: 130/196 | Loss: 1.553 | Train Acc: 43.377%
Train Epoch: 2 | Batch: 140/196 | Loss: 1.550 | Train Acc: 43.517%
Train Epoch: 2 | Batch: 150/196 | Loss: 1.546 | Train Acc: 43.618%
Train Epoch: 2 | Batch: 160/196 | Loss: 1.543 | Train Acc: 43.682%
Train Epoch: 2 | Batch: 170/196 | Loss: 1.545 | Train Acc: 43.663%
Train Epoch: 2 | Batch: 180/196 | Loss: 1.543 | Train Acc: 43.836%
Train Epoch: 2 | Batch: 190/196 | Loss: 1.541 | Train Acc: 43.899%


Test Epoch: 2 | Loss: 1.485 | Test Acc: 45.850%


Train Epoch: 3 | Batch: 0/196 | Loss: 1.606 | Train Acc: 42.578%
Train Epoch: 3 | Batch: 10/196 | Loss: 1.543 | Train Acc: 44.389%
Train Epoch: 3 | Batch: 20/196 | Loss: 1.535 | Train Acc: 45.201%
Train Epoch: 3 | Batch: 30/196 | Loss: 1.525 | Train Acc: 45.527%
Train Epoch: 3 | Batch: 40/196 | Loss: 1.510 | Train Acc: 46.094%
Train Epoch: 3 | Batch: 50/196 | Loss: 1.504 | Train Acc: 46.078%
Train Epoch: 3 | Batch: 60/196 | Loss: 1.502 | Train Acc: 46.305%
Train Epoch: 3 | Batch: 70/196 | Loss: 1.497 | Train Acc: 46.567%
Train Epoch: 3 | Batch: 80/196 | Loss: 1.492 | Train Acc: 46.571%
Train Epoch: 3 | Batch: 90/196 | Loss: 1.490 | Train Acc: 46.592%
Train Epoch: 3 | Batch: 100/196 | Loss: 1.483 | Train Acc: 46.863%
Train Epoch: 3 | Batch: 110/196 | Loss: 1.478 | Train Acc: 46.963%
Train Epoch: 3 | Batch: 120/196 | Loss: 1.475 | Train Acc: 47.172%
Train Epoch: 3 | Batch: 130/196 | Loss: 1.473 | Train Acc: 47.224%
Train Epoch: 3 | Batch: 140/196 | Loss: 1.473 | Train Acc: 47.343%
Train Epoch: 3 | Batch: 150/196 | Loss: 1.474 | Train Acc: 47.242%
