Train Epoch: 0 | Batch: 0/98 | Loss: 2.305 | Train Acc: 8.594%
Train Epoch: 0 | Batch: 10/98 | Loss: 2.305 | Train Acc: 10.742%
Train Epoch: 0 | Batch: 20/98 | Loss: 2.299 | Train Acc: 13.114%
Train Epoch: 0 | Batch: 30/98 | Loss: 2.281 | Train Acc: 14.945%
Train Epoch: 0 | Batch: 40/98 | Loss: 2.233 | Train Acc: 16.773%
Train Epoch: 0 | Batch: 50/98 | Loss: 2.190 | Train Acc: 18.536%
Train Epoch: 0 | Batch: 60/98 | Loss: 2.152 | Train Acc: 19.919%
Train Epoch: 0 | Batch: 70/98 | Loss: 2.118 | Train Acc: 21.176%
Train Epoch: 0 | Batch: 80/98 | Loss: 2.088 | Train Acc: 22.215%
Train Epoch: 0 | Batch: 90/98 | Loss: 2.058 | Train Acc: 23.315%


Test Epoch: 0 | Loss: 1.712 | Test Acc: 37.470%


Train Epoch: 1 | Batch: 0/98 | Loss: 1.751 | Train Acc: 35.742%
Train Epoch: 1 | Batch: 10/98 | Loss: 1.774 | Train Acc: 34.766%
Train Epoch: 1 | Batch: 20/98 | Loss: 1.741 | Train Acc: 35.807%
Train Epoch: 1 | Batch: 30/98 | Loss: 1.718 | Train Acc: 36.423%
Train Epoch: 1 | Batch: 40/98 | Loss: 1.699 | Train Acc: 36.914%
Train Epoch: 1 | Batch: 50/98 | Loss: 1.685 | Train Acc: 37.600%
Train Epoch: 1 | Batch: 60/98 | Loss: 1.673 | Train Acc: 38.134%
Train Epoch: 1 | Batch: 70/98 | Loss: 1.663 | Train Acc: 38.540%
Train Epoch: 1 | Batch: 80/98 | Loss: 1.659 | Train Acc: 38.759%
Train Epoch: 1 | Batch: 90/98 | Loss: 1.654 | Train Acc: 39.078%


Test Epoch: 1 | Loss: 1.477 | Test Acc: 46.020%


Train Epoch: 2 | Batch: 0/98 | Loss: 1.613 | Train Acc: 43.945%
Train Epoch: 2 | Batch: 10/98 | Loss: 1.561 | Train Acc: 43.129%
Train Epoch: 2 | Batch: 20/98 | Loss: 1.530 | Train Acc: 44.336%
Train Epoch: 2 | Batch: 30/98 | Loss: 1.539 | Train Acc: 43.693%
Train Epoch: 2 | Batch: 40/98 | Loss: 1.534 | Train Acc: 43.983%
Train Epoch: 2 | Batch: 50/98 | Loss: 1.526 | Train Acc: 44.409%
Train Epoch: 2 | Batch: 60/98 | Loss: 1.520 | Train Acc: 44.640%
Train Epoch: 2 | Batch: 70/98 | Loss: 1.517 | Train Acc: 44.837%
Train Epoch: 2 | Batch: 80/98 | Loss: 1.512 | Train Acc: 44.944%
Train Epoch: 2 | Batch: 90/98 | Loss: 1.508 | Train Acc: 45.145%


Test Epoch: 2 | Loss: 1.345 | Test Acc: 51.420%


Train Epoch: 3 | Batch: 0/98 | Loss: 1.414 | Train Acc: 49.219%
Train Epoch: 3 | Batch: 10/98 | Loss: 1.457 | Train Acc: 48.082%
Train Epoch: 3 | Batch: 20/98 | Loss: 1.450 | Train Acc: 47.972%
