Train Epoch: 0 | Batch: 0/98 | Loss: 2.303 | Train Acc: 9.766%
Train Epoch: 0 | Batch: 10/98 | Loss: 2.303 | Train Acc: 10.405%
Train Epoch: 0 | Batch: 20/98 | Loss: 2.303 | Train Acc: 10.538%
Train Epoch: 0 | Batch: 30/98 | Loss: 2.301 | Train Acc: 11.152%
Train Epoch: 0 | Batch: 40/98 | Loss: 2.298 | Train Acc: 11.676%
Train Epoch: 0 | Batch: 50/98 | Loss: 2.293 | Train Acc: 12.343%
Train Epoch: 0 | Batch: 60/98 | Loss: 2.287 | Train Acc: 13.278%
Train Epoch: 0 | Batch: 70/98 | Loss: 2.275 | Train Acc: 14.195%
Train Epoch: 0 | Batch: 80/98 | Loss: 2.261 | Train Acc: 14.996%
Train Epoch: 0 | Batch: 90/98 | Loss: 2.241 | Train Acc: 15.930%


Test Epoch: 0 | Loss: 2.019 | Test Acc: 25.260%


Train Epoch: 1 | Batch: 0/98 | Loss: 2.081 | Train Acc: 20.508%
Train Epoch: 1 | Batch: 10/98 | Loss: 2.029 | Train Acc: 23.935%
Train Epoch: 1 | Batch: 20/98 | Loss: 2.016 | Train Acc: 24.814%
Train Epoch: 1 | Batch: 30/98 | Loss: 2.000 | Train Acc: 25.863%
Train Epoch: 1 | Batch: 40/98 | Loss: 1.982 | Train Acc: 26.648%
Train Epoch: 1 | Batch: 50/98 | Loss: 1.966 | Train Acc: 27.394%
Train Epoch: 1 | Batch: 60/98 | Loss: 1.947 | Train Acc: 28.090%
Train Epoch: 1 | Batch: 70/98 | Loss: 1.933 | Train Acc: 28.650%
Train Epoch: 1 | Batch: 80/98 | Loss: 1.918 | Train Acc: 29.193%
Train Epoch: 1 | Batch: 90/98 | Loss: 1.905 | Train Acc: 29.724%


Test Epoch: 1 | Loss: 1.696 | Test Acc: 37.560%


Train Epoch: 2 | Batch: 0/98 | Loss: 1.740 | Train Acc: 35.938%
Train Epoch: 2 | Batch: 10/98 | Loss: 1.764 | Train Acc: 34.730%
Train Epoch: 2 | Batch: 20/98 | Loss: 1.746 | Train Acc: 34.924%
Train Epoch: 2 | Batch: 30/98 | Loss: 1.739 | Train Acc: 35.194%
Train Epoch: 2 | Batch: 40/98 | Loss: 1.732 | Train Acc: 35.756%
Train Epoch: 2 | Batch: 50/98 | Loss: 1.728 | Train Acc: 35.826%
Train Epoch: 2 | Batch: 60/98 | Loss: 1.723 | Train Acc: 36.107%
Train Epoch: 2 | Batch: 70/98 | Loss: 1.719 | Train Acc: 36.262%
Train Epoch: 2 | Batch: 80/98 | Loss: 1.714 | Train Acc: 36.451%
Train Epoch: 2 | Batch: 90/98 | Loss: 1.714 | Train Acc: 36.624%


