Train Epoch: 0 | Batch: 0/391 | Loss: 2.299 | Train Acc: 14.844%
Train Epoch: 0 | Batch: 10/391 | Loss: 2.295 | Train Acc: 12.216%
Train Epoch: 0 | Batch: 20/391 | Loss: 2.266 | Train Acc: 14.249%
Train Epoch: 0 | Batch: 30/391 | Loss: 2.240 | Train Acc: 16.205%
Train Epoch: 0 | Batch: 40/391 | Loss: 2.220 | Train Acc: 17.016%
Train Epoch: 0 | Batch: 50/391 | Loss: 2.195 | Train Acc: 17.953%
Train Epoch: 0 | Batch: 60/391 | Loss: 2.160 | Train Acc: 19.083%
Train Epoch: 0 | Batch: 70/391 | Loss: 2.139 | Train Acc: 20.147%
Train Epoch: 0 | Batch: 80/391 | Loss: 2.126 | Train Acc: 20.563%
Train Epoch: 0 | Batch: 90/391 | Loss: 2.117 | Train Acc: 21.034%
Train Epoch: 0 | Batch: 100/391 | Loss: 2.106 | Train Acc: 21.202%
Train Epoch: 0 | Batch: 110/391 | Loss: 2.097 | Train Acc: 21.615%
Train Epoch: 0 | Batch: 120/391 | Loss: 2.095 | Train Acc: 21.572%
Train Epoch: 0 | Batch: 130/391 | Loss: 2.083 | Train Acc: 22.096%
Train Epoch: 0 | Batch: 140/391 | Loss: 2.072 | Train Acc: 22.545%
Train Epoch: 0 | Batch: 150/391 | Loss: 2.062 | Train Acc: 23.003%
Train Epoch: 0 | Batch: 160/391 | Loss: 2.056 | Train Acc: 23.287%
Train Epoch: 0 | Batch: 170/391 | Loss: 2.049 | Train Acc: 23.698%
Train Epoch: 0 | Batch: 180/391 | Loss: 2.042 | Train Acc: 23.770%
Train Epoch: 0 | Batch: 190/391 | Loss: 2.037 | Train Acc: 24.067%
Train Epoch: 0 | Batch: 200/391 | Loss: 2.029 | Train Acc: 24.296%
Train Epoch: 0 | Batch: 210/391 | Loss: 2.024 | Train Acc: 24.285%
Train Epoch: 0 | Batch: 220/391 | Loss: 2.020 | Train Acc: 24.512%
Train Epoch: 0 | Batch: 230/391 | Loss: 2.017 | Train Acc: 24.638%
Train Epoch: 0 | Batch: 240/391 | Loss: 2.013 | Train Acc: 24.783%
Train Epoch: 0 | Batch: 250/391 | Loss: 2.008 | Train Acc: 25.009%
Train Epoch: 0 | Batch: 260/391 | Loss: 2.004 | Train Acc: 25.204%
