Train Epoch: 0 | Batch: 0/391 | Loss: 2.636 | Train Acc: 7.812%
Train Epoch: 0 | Batch: 10/391 | Loss: 31.893 | Train Acc: 17.685%
Train Epoch: 0 | Batch: 20/391 | Loss: 40.250 | Train Acc: 18.229%
Train Epoch: 0 | Batch: 30/391 | Loss: 41.334 | Train Acc: 19.078%
Train Epoch: 0 | Batch: 40/391 | Loss: 40.421 | Train Acc: 19.379%
Train Epoch: 0 | Batch: 50/391 | Loss: 39.862 | Train Acc: 19.853%
Train Epoch: 0 | Batch: 60/391 | Loss: 39.725 | Train Acc: 20.018%
Train Epoch: 0 | Batch: 70/391 | Loss: 39.191 | Train Acc: 20.114%
Train Epoch: 0 | Batch: 80/391 | Loss: 38.904 | Train Acc: 20.110%
Train Epoch: 0 | Batch: 90/391 | Loss: 38.786 | Train Acc: 20.209%
Train Epoch: 0 | Batch: 100/391 | Loss: 38.693 | Train Acc: 20.127%
Train Epoch: 0 | Batch: 110/391 | Loss: 38.848 | Train Acc: 20.214%
Train Epoch: 0 | Batch: 120/391 | Loss: 39.217 | Train Acc: 20.170%
Train Epoch: 0 | Batch: 130/391 | Loss: 39.525 | Train Acc: 20.068%
Train Epoch: 0 | Batch: 140/391 | Loss: 39.773 | Train Acc: 20.130%
Train Epoch: 0 | Batch: 150/391 | Loss: 39.835 | Train Acc: 20.245%
Train Epoch: 0 | Batch: 160/391 | Loss: 39.779 | Train Acc: 20.395%
Train Epoch: 0 | Batch: 170/391 | Loss: 39.649 | Train Acc: 20.555%
Train Epoch: 0 | Batch: 180/391 | Loss: 39.657 | Train Acc: 20.567%
Train Epoch: 0 | Batch: 190/391 | Loss: 39.587 | Train Acc: 20.660%
Train Epoch: 0 | Batch: 200/391 | Loss: 39.690 | Train Acc: 20.627%
Train Epoch: 0 | Batch: 210/391 | Loss: 39.521 | Train Acc: 20.723%
Train Epoch: 0 | Batch: 220/391 | Loss: 39.504 | Train Acc: 20.779%
Train Epoch: 0 | Batch: 230/391 | Loss: 39.715 | Train Acc: 20.739%
Train Epoch: 0 | Batch: 240/391 | Loss: 39.890 | Train Acc: 20.766%
Train Epoch: 0 | Batch: 250/391 | Loss: 39.897 | Train Acc: 20.767%
Train Epoch: 0 | Batch: 260/391 | Loss: 39.920 | Train Acc: 20.759%
Train Epoch: 0 | Batch: 270/391 | Loss: 39.982 | Train Acc: 20.823%
Train Epoch: 0 | Batch: 280/391 | Loss: 40.054 | Train Acc: 20.841%
Train Epoch: 0 | Batch: 290/391 | Loss: 40.007 | Train Acc: 20.882%
Train Epoch: 0 | Batch: 300/391 | Loss: 39.942 | Train Acc: 20.977%
Train Epoch: 0 | Batch: 310/391 | Loss: 39.930 | Train Acc: 21.001%
Train Epoch: 0 | Batch: 320/391 | Loss: 40.109 | Train Acc: 20.967%
Train Epoch: 0 | Batch: 330/391 | Loss: 40.206 | Train Acc: 20.912%
Train Epoch: 0 | Batch: 340/391 | Loss: 40.253 | Train Acc: 20.954%
Train Epoch: 0 | Batch: 350/391 | Loss: 40.224 | Train Acc: 21.025%
Train Epoch: 0 | Batch: 360/391 | Loss: 40.112 | Train Acc: 21.068%
Train Epoch: 0 | Batch: 370/391 | Loss: 40.091 | Train Acc: 21.071%
Train Epoch: 0 | Batch: 380/391 | Loss: 40.196 | Train Acc: 21.032%
Train Epoch: 0 | Batch: 390/391 | Loss: 40.335 | Train Acc: 21.054%


Test Epoch: 0 | Loss: 38.279 | Test Acc: 26.850%


Train Epoch: 1 | Batch: 0/391 | Loss: 54.996 | Train Acc: 17.188%
Train Epoch: 1 | Batch: 10/391 | Loss: 45.794 | Train Acc: 20.170%
Train Epoch: 1 | Batch: 20/391 | Loss: 45.257 | Train Acc: 20.350%
Train Epoch: 1 | Batch: 30/391 | Loss: 45.367 | Train Acc: 20.338%
Train Epoch: 1 | Batch: 40/391 | Loss: 44.722 | Train Acc: 20.827%
Train Epoch: 1 | Batch: 50/391 | Loss: 43.814 | Train Acc: 21.063%
Train Epoch: 1 | Batch: 60/391 | Loss: 42.838 | Train Acc: 20.991%
